# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
8840586045,5.734,134.749,996.191,4742.500,-4042.500,-2441.250,23.754,94,2209,16331,542,-462,-279,-319,0,0
8840595457,5.612,134.078,996.496,4628.750,-4025.000,-2432.500,23.754,92,2198,16336,529,-460,-278,-319,0,0
8840604865,4.941,134.261,996.435,4620.000,-3990.000,-2458.750,23.785,81,2201,16335,528,-456,-281,-311,0,0
8840614279,6.222,135.542,997.777,4716.250,-4016.250,-2467.500,23.785,102,2222,16357,539,-459,-282,-311,0,0
8840623686,7.076,134.505,997.533,4681.250,-3972.500,-2458.750,23.809,116,2205,16353,535,-454,-281,-305,0,0
8840633094,6.466,134.078,995.825,4742.500,-4025.000,-2485.000,23.809,106,2198,16325,542,-460,-284,-305,0,0
8840642506,5.917,133.468,996.923,4777.500,-3981.250,-2502.500,23.789,97,2188,16343,546,-455,-286,-310,0,0
8840651914,6.344,132.736,997.106,4725.000,-3998.750,-2493.750,23.789,104,2176,16346,540,-457,-285,-310,0,0
8840661322,5.002,133.041,997.533,4707.500,-4033.750,-2458.750,23.809,82,2181,16353,538,-461,-281,-305,0,0
8840670729,6.283,132.919,995.764,4690.000,-4007.500,-2450.000,23.809,103,2179,16324,536,-458,-280,-305,0,0
8840680143,5.673,134.261,995.581,4672.500,-4025.000,-2458.750,23.758,93,2201,16321,534,-460,-281,-318,0,0
8840689549,6.832,133.895,996.801,4733.750,-3963.750,-2458.750,23.758,112,2195,16341,541,-453,-281,-318,0,0
8840698956,6.283,134.688,995.825,4751.250,-3972.500,-2441.250,23.773,103,2208,16325,543,-454,-279,-314,0,0
8840708371,7.808,135.176,997.899,4716.250,-3972.500,-2458.750,23.773,128,2216,16359,539,-454,-281,-314,0,0
8840717778,5.368,134.993,996.191,4760.000,-3981.250,-2458.750,23.824,88,2213,16331,544,-455,-281,-301,0,0
8840727186,6.405,135.542,996.618,4698.750,-3972.500,-2458.750,23.824,105,2222,16338,537,-454,-281,-301,0,0
8840736600,6.649,133.773,998.143,4760.000,-3990.000,-2476.250,23.781,109,2193,16363,544,-456,-283,-312,0,0
8840746007,7.259,134.566,997.777,4733.750,-3990.000,-2458.750,23.781,119,2206,16357,541,-456,-281,-312,0,0
8840755414,5.551,133.102,996.618,4663.750,-3981.250,-2502.500,23.766,91,2182,16338,533,-455,-286,-316,0,0
8840764827,5.734,132.919,995.947,4646.250,-4025.000,-2458.750,23.766,94,2179,16327,531,-460,-281,-316,0,0
8840774234,5.063,134.810,997.045,4733.750,-4033.750,-2441.250,23.773,83,2210,16345,541,-461,-279,-314,0,0
8840783641,5.307,133.407,996.191,4637.500,-4025.000,-2450.000,23.773,87,2187,16331,530,-460,-280,-314,0,0
8840793055,5.917,134.627,997.655,4681.250,-4016.250,-2441.250,23.824,97,2207,16355,535,-459,-279,-301,0,0
8840802462,6.527,134.688,997.106,4751.250,-4033.750,-2458.750,23.824,107,2208,16346,543,-461,-281,-301,0,0
8840811868,6.283,133.407,996.130,4690.000,-4025.000,-2458.750,23.750,103,2187,16330,536,-460,-281,-320,0,0
8840821283,6.527,134.322,996.191,4786.250,-4007.500,-2450.000,23.750,107,2202,16331,547,-458,-280,-320,0,0
8840830690,5.612,133.895,996.801,4733.750,-4033.750,-2450.000,23.770,92,2195,16341,541,-461,-280,-315,0,0
8840840097,6.771,133.407,997.838,4707.500,-4025.000,-2441.250,23.770,111,2187,16358,538,-460,-279,-315,0,0
8840849510,6.344,134.505,996.923,4760.000,-4007.500,-2450.000,23.789,104,2205,16343,544,-458,-280,-310,0,0
8840858917,6.039,134.322,994.666,4576.250,-3990.000,-2406.250,23.789,99,2202,16306,523,-456,-275,-310,0,0
8840868324,5.612,133.407,996.069,4716.250,-3998.750,-2458.750,23.777,92,2187,16329,539,-457,-281,-313,0,0
8840877740,6.344,135.237,998.936,4856.250,-3946.250,-2467.500,23.777,104,2217,16376,555,-451,-282,-313,0,0
8840887148,5.551,134.444,996.923,4690.000,-4033.750,-2467.500,23.734,91,2204,16343,536,-461,-282,-324,0,0
8840896555,6.710,132.919,995.154,4628.750,-4025.000,-2493.750,23.734,110,2179,16314,529,-460,-285,-324,0,0
8840905967,5.917,131.760,994.971,4725.000,-4007.500,-2485.000,23.824,97,2160,16311,540,-458,-284,-301,0,0
8840915375,6.466,134.444,1003.084,4821.250,-3972.500,-2458.750,23.824,106,2204,16444,551,-454,-281,-301,0,0
8840924783,6.039,137.555,995.154,4786.250,-3972.500,-2441.250,23.773,99,2255,16314,547,-454,-279,-314,0,0
8840934190,5.002,132.614,992.470,4427.500,-4033.750,-2467.500,23.773,82,2174,16270,506,-461,-282,-314,0,0
8840943605,5.734,132.980,1002.657,4812.500,-4033.750,-2476.250,23.801,94,2180,16437,550,-461,-283,-307,0,0
8840953010,7.015,138.531,995.764,4882.500,-3990.000,-2485.000,23.801,115,2271,16324,558,-456,-284,-307,0,0
8840962418,5.185,131.394,993.446,4331.250,-3998.750,-2476.250,23.781,85,2154,16286,495,-457,-283,-312,0,0
